cluster_id	waveform_duration
0	666.666666666667
1	200
2	200
3	500
4	166.666666666667
5	666.666666666667
6	433.333333333333
7	400
8	400
9	400
10	1233.33333333333
11	533.333333333333
12	666.666666666667
13	100
14	800
15	433.333333333333
16	666.666666666667
17	166.666666666667
18	1733.33333333333
19	366.666666666667
20	400
21	400
22	600
23	400
24	466.666666666667
25	600
26	400
27	333.333333333333
28	200
30	600
31	666.666666666667
32	833.333333333333
33	200
34	366.666666666667
35	400
36	833.333333333333
37	266.666666666667
38	566.666666666667
39	366.666666666667
40	266.666666666667
41	433.333333333333
42	200
43	533.333333333333
44	200
45	533.333333333333
46	166.666666666667
47	366.666666666667
48	766.666666666667
49	466.666666666667
50	1100
51	433.333333333333
52	533.333333333333
53	266.666666666667
54	166.666666666667
55	500
56	500
57	200
58	600
59	166.666666666667
60	366.666666666667
61	66.6666666666667
62	233.333333333333
63	666.666666666667
64	466.666666666667
65	200
66	666.666666666667
67	600
68	966.666666666667
69	500
70	400
71	500
72	33.3333333333333
73	566.666666666667
74	166.666666666667
75	433.333333333333
76	533.333333333333
77	533.333333333333
78	1000
79	166.666666666667
80	566.666666666667
81	500
82	166.666666666667
83	600
84	633.333333333333
85	166.666666666667
86	533.333333333333
87	1566.66666666667
88	166.666666666667
89	466.666666666667
90	500
91	800
92	233.333333333333
93	600
94	100
95	166.666666666667
96	400
97	600
98	766.666666666667
99	400
100	666.666666666667
101	500
102	600
103	500
104	300
105	366.666666666667
106	166.666666666667
108	500
109	800
110	400
111	366.666666666667
112	200
113	433.333333333333
114	600
115	166.666666666667
116	600
117	166.666666666667
118	366.666666666667
119	200
120	533.333333333333
121	333.333333333333
122	633.333333333333
123	166.666666666667
124	266.666666666667
125	366.666666666667
126	633.333333333333
127	366.666666666667
128	233.333333333333
129	633.333333333333
130	833.333333333333
131	833.333333333333
132	300
133	433.333333333333
134	500
135	366.666666666667
136	466.666666666667
137	700
138	166.666666666667
139	400
140	366.666666666667
141	500
142	433.333333333333
143	200
144	466.666666666667
145	200
146	366.666666666667
147	500
148	400
149	600
150	200
151	466.666666666667
152	166.666666666667
153	400
154	366.666666666667
155	533.333333333333
156	800
157	466.666666666667
158	366.666666666667
159	233.333333333333
160	400
161	200
162	400
163	500
164	433.333333333333
165	466.666666666667
166	400
167	100
168	733.333333333333
169	333.333333333333
170	366.666666666667
171	366.666666666667
172	400
173	300
174	566.666666666667
175	766.666666666667
176	300
177	1333.33333333333
178	200
179	433.333333333333
180	533.333333333333
181	266.666666666667
182	366.666666666667
183	433.333333333333
184	333.333333333333
185	366.666666666667
186	466.666666666667
187	433.333333333333
188	433.333333333333
189	566.666666666667
190	600
191	800
192	400
193	633.333333333333
194	166.666666666667
195	366.666666666667
196	533.333333333333
197	766.666666666667
198	466.666666666667
199	1366.66666666667
200	166.666666666667
201	300
202	466.666666666667
203	333.333333333333
204	300
205	533.333333333333
206	633.333333333333
208	200
209	600
210	533.333333333333
211	433.333333333333
212	600
213	433.333333333333
214	800
215	200
216	666.666666666667
217	633.333333333333
218	633.333333333333
219	533.333333333333
220	433.333333333333
221	733.333333333333
222	233.333333333333
223	633.333333333333
224	400
225	1533.33333333333
226	166.666666666667
227	633.333333333333
228	600
229	300
230	400
231	700
232	466.666666666667
233	333.333333333333
234	133.333333333333
235	300
236	566.666666666667
237	166.666666666667
238	466.666666666667
239	566.666666666667
240	433.333333333333
241	500
242	566.666666666667
243	533.333333333333
244	400
245	433.333333333333
246	466.666666666667
247	600
248	533.333333333333
249	1233.33333333333
250	133.333333333333
251	600
252	500
253	333.333333333333
254	533.333333333333
255	266.666666666667
256	200
257	166.666666666667
258	400
259	433.333333333333
260	366.666666666667
261	500
262	1066.66666666667
263	366.666666666667
264	200
265	700
266	233.333333333333
267	966.666666666667
268	300
269	533.333333333333
270	666.666666666667
271	366.666666666667
272	700
273	566.666666666667
274	400
275	500
276	100
277	1000
278	500
279	666.666666666667
280	266.666666666667
281	200
282	300
283	1266.66666666667
284	600
285	500
286	533.333333333333
287	133.333333333333
288	400
289	666.666666666667
290	633.333333333333
291	166.666666666667
292	266.666666666667
