cluster_id	spatial_decay_slope
0	0.0265131957590916
1	0.020777798609273
2	0.0215500409548244
3	0.0170783769375148
4	0.0538052194877496
5	0.00582519229918408
6	0.0269952623962518
7	0.0269948864441064
8	0.0165654415982737
9	0.0140656513148855
10	0.0231683025902567
11	0.000623730947398385
12	0.0279478638902893
13	0.0255696095804531
14	0.0242457140487473
15	0.0176679118065604
16	0.0395860647918705
17	0.053432876157302
18	0.00458961076878243
19	0.0448466422103103
20	0.0314555237926733
21	0.0297067262219562
22	0.00463436738990799
23	0.0196529320200013
24	0.0373707777832978
25	0.0333847106978267
26	0.0189265217600299
27	0.0241935495658493
28	0.0206222731786604
30	0.03014775682275
31	0.0272208175331588
32	0.0418069905007084
33	0.0183676648765968
34	0.0190867216467504
35	0.0286431858851247
36	0.0498315664404254
37	0.0180017439896883
38	0.0480601117764862
39	0.0428339920019819
40	0.0156341360943751
41	0.0253291928721456
42	0.0204256929127892
43	0.0155736882971877
44	0.0154789797270079
45	0.0229642668905598
46	0.0528287129481365
47	0.0272709504972146
48	0.0367866747443815
49	0.0337247035364072
50	0.0358717080812257
51	0.0297010157070402
52	0.00545770962512119
53	0.0395705738212989
54	0.0195038306831254
55	0.0185834440718309
56	0.0293431837445087
57	0.021860274445779
58	0.0381035282266387
59	0.0193303953996726
60	0.0418604411678728
61	0.0215457246986702
62	0.0223716791857913
63	0.028896863625841
64	0.0297676291738356
65	0.0213824432978637
66	0.0376350839149979
67	0.0159312452544924
68	0.00104187559564882
69	0.0424844859881702
70	0.0218881640702106
71	0.0213283822451545
72	0.00447220903141537
73	0.023117715315733
74	0.0197034878768584
75	0.0461024720156504
76	0.0338204516568451
77	0.0384204335783552
78	0.0243417671710084
79	0.022302278119362
80	0.0364638018275195
81	0.0375243140271419
82	0.0206922233279139
83	0.0199856199908459
84	0.0422968711356386
85	0.0534710608213872
86	0.0151758818031796
87	0.00709716137559115
88	0.109966023611934
89	0.0192050334851123
90	0.0172721364226199
91	0.0310747495482974
92	0.0252058006732552
93	0.0269369848288866
94	0.029015165680629
95	0.0333915533194261
96	0.0261486485167353
97	0.0243664813803638
98	0.0159437783708569
99	0.0333770976486823
100	0.0190505394034519
101	0.0280728342073184
102	0.0284989509562792
103	0.0383692689844262
104	0.0177160520216219
105	0.0250863993769461
106	0.0207580219437708
108	0.0173557501783421
109	0.018338563551247
110	0.0193861751328158
111	0.0241972095704843
112	0.0171659314114809
113	0.0230013441083109
114	0.0310107328332144
115	0.0250918254143879
116	0.0190894861725477
117	0.0660036251299188
118	0.00884043398727397
119	0.0187364265306855
120	0.0364667294232052
121	0.0442197557474236
122	0.00687676042701079
123	0.0193805725930064
124	0.0704085521631333
125	0.0378469367538631
126	0.0140032122350078
127	0.0144903635664522
128	0.0268417966331573
129	0.0314038508850838
130	0.040841517797216
131	0.0393096781474413
132	0.0272247358396756
133	0.0236291209622893
134	0.0218054252037286
135	0.0233765997161287
136	0.0410627858782019
137	0.0372587673495389
138	0.0836939599565942
139	0.0216690301321369
140	0.0382234358937266
141	0.0222687270251492
142	0.0452600098730228
143	0.0364766556208829
144	0.0437111571087254
145	0.0119097118963078
146	0.0184930367375421
147	0.0193416678086861
148	0.028812043904304
149	0.0382509389301859
150	0.0133537120428102
151	0.0186491979361247
152	0.0284631374355026
153	0.0322905492928045
154	0.0184440853821497
155	0.016002040292991
156	0.0066033504471564
157	0.000514307679113721
158	0.0447995189920281
159	0.0703709506618416
160	0.0348610031708952
161	0.044912882168201
162	0.0281492514462848
163	0.0378634463727776
164	0.0327362722060551
165	0.0239326514145537
166	0.0410694585734773
167	0.000399741518280942
168	0.0322491301741425
169	0.0512020998601653
170	0.0243352088968722
171	0.0265474310110592
172	0.00597267448311972
173	0.0170172405729393
174	0.00654837271005279
175	0.0486533419140411
176	0.016498512498831
177	0.00280667450696106
178	0.0309364594248154
179	0.00981721464760522
180	0.0281929016975586
181	0.0173812592152398
182	0.039667647306888
183	0.0289770575730455
184	0.0269262752088327
185	0.034279799420532
186	0.0194217558292102
187	0.0331032208958761
188	0.0217277367580493
189	0.0290973209596541
190	0.0287628841392812
191	0.0433875301512636
