cluster_id	wv_baseline_flatness
0	0.0487946946636919
1	0.0151554894643106
2	0.0274633506649464
3	0.0292531680753333
4	0.0443737122124828
5	0.755388307595713
6	0.0210840744310251
7	0.0519892654854106
8	0.0119071912253381
9	0.0608272996053527
10	0.979740731013663
11	0.34446767611455
12	0.0132762681166521
13	0.0219497862505094
14	0.00895104125829866
15	0.0256879987726663
16	0.0147673408273031
17	0.0438268382071568
18	1
19	0.126660641218666
20	0.018439087046685
21	0.0266323958375794
22	0.0265988186243524
23	0.0775439924485295
24	0.00475163380498577
25	0.0256414152056389
26	0.0253522441139996
27	0.134789119032928
28	0.0523155093400036
30	0.0235197284075705
31	0.037757592118602
32	0.00929817897901174
33	0.0371537165957618
34	0.0501366866286633
35	0.0343857917431925
36	0.00773984566715687
37	0.00538981417861335
38	0.0310230225605791
39	0.0275917234681267
40	0.033049952101417
41	0.0388604933318451
42	0.026969973065911
43	0.0247802155001396
44	0.0390083955969751
45	0.00441561757233008
46	0.02174230837247
47	0.0199526326654965
48	0.00759386569435434
49	0.0251200076717441
50	0.0756519496057632
51	0.0247776508441891
52	0.488248721331049
53	0.0050733263934852
54	0.0121787910412147
55	0.038722402545362
56	0.0103280279930393
57	0.0140767252449521
58	0.152833937333152
59	0.0281844599611504
60	0.0427313158753176
61	0.0319139177144789
62	0.0195922536956428
63	0.0187564475115259
64	0.0247014614607438
65	0.0171949686117871
66	0.0134240689921733
67	0.363203439492345
68	0.725901416005416
69	0.0575469735009285
70	0.00683279357777153
71	0.0226969235866686
72	0.488488964041443
73	0.0278163410119756
74	1
75	0.0117605842025598
76	0.0351941156205328
77	0.0233973585715919
78	0.017965436622622
79	0.0193925553857547
80	0.0296395449045618
81	0.201117763238448
82	0.0222047997364307
83	0.017746493734418
84	0.0230451676866428
85	0.0427960791754039
86	0.201901852600634
87	0.917382691996163
88	0.00558053849832978
89	0.0276839077246564
90	0.0164011796366226
91	0.0197381530805139
92	0.0238177504428795
93	0.0146342512148597
94	0.0187110618266145
95	0.0367175346813116
96	0.0119775060052645
97	0.152529539634622
98	0.0247334779519128
99	0.0190450610944271
100	0.0391504423650653
101	0.0514397726681302
102	0.0180910356362779
103	0.0242452491681635
104	0.00929664508355064
105	0.0288470533167023
106	0.0271329161685175
108	0.0330987376186726
109	0.208228327614622
110	0.049065795595462
111	0.0442667848836416
112	0.109416639955892
113	0.0183822504166388
114	0.00949445577700036
115	0.0589302965253722
116	0.0077726943420001
117	0.0332319788421265
118	0.114555035526504
119	0.0451719244648608
120	0.0207297883545288
121	0.0118260501583238
122	0.0185698763844417
123	0.0293278967489431
124	0.0072653552860781
125	0.0220047425891087
126	0.00637323571028516
127	0.0175122286912483
128	0.0442931555984453
129	0.0157121746176944
130	0.00570815175268849
131	0.0110545945533448
132	0.0227533284575635
133	0.189097476316577
134	1
135	0.129834570556377
136	0.0343829410021009
137	0.392343627658034
138	0.00456564976925268
139	0.0165417533820051
140	0.0133054986145407
141	0.032115488906362
142	0.015511945928196
143	0.018164034172987
144	0.013157585786675
145	0.00704886192830674
146	0.0560276324095563
147	0.0503024545766881
148	0.0238586991308332
149	0.0985734520259918
150	0.00826220831243576
151	0.112347661291012
152	0.0138753547674753
153	0.0442377302115987
154	0.0506805869167439
155	0.0148168674097103
156	0.425897437238488
157	1
158	0.00794804263304878
159	0.00546428715333549
160	0.219949048588927
161	0.5678303033841
162	0.0425101526094675
163	0.0163583879593837
164	0.0233500835347766
165	0.0137833406180966
166	0.00337314603890506
167	0.219740622988285
168	0.797238175350949
169	0.00959602283031245
170	0.024710773622391
