cluster_id	peak_2_to_trough
0	0.357107442976573
1	0.519746343783178
2	0.540347357760196
3	0.505634798186402
4	0.588899484459278
5	1.11035655522557
6	0.436679455061461
7	0.496690922433354
8	0.377073522142477
9	0.57207319243822
10	0.395405382947669
11	0.873204477827888
12	0.216559021194331
13	0.318092752371023
14	0.187991247738724
15	0.491422318469607
16	0.275175496848847
17	0.655094466678771
18	0.18352930694225
19	0.724609904185476
20	0.61994305382991
21	0.607906126240226
22	0.255899626347366
23	0.595943692307989
24	0.531564732122229
25	0.429917352969035
26	0.224716546680513
27	0.200951295787289
28	0.628563502474367
30	0.448279956052904
31	0.549559838710992
32	0.192189697263605
33	0.602325800606084
34	0.536827639190172
35	0.609595082410195
36	0.140309809630009
37	0.487076221228808
38	0.507157649723894
39	0.511779137482363
40	0.666773760681937
41	0.556963561231818
42	0.501288547172742
43	0.411971093120948
44	0.0471689740916738
45	0.275346294099575
46	0.641582874214537
47	0.507613242168388
48	0.166177046129387
49	0.447089607660943
50	0.233181798315088
51	0.509172257774827
52	0.88845868159801
53	0.203033505792758
54	0.350368236851671
55	0.5813781024582
56	0.505613321750169
57	0.540332415978396
58	0.478458296645626
59	0.487764343434704
60	0.403944759217998
61	0.44058351546228
62	0.416557245949997
63	0.224935382589527
64	0.495755121824997
65	0.600578290596572
66	0.242866984280264
67	0.658798997110841
68	0.387621008973583
69	0.257358352398613
70	0.501818417526901
71	0.411306856354842
72	3.50280334750019
73	0.464855986004401
74	0.503048936621261
75	0.174980489878627
76	0.489395155515881
77	0.409882354218417
78	0.463660048339889
79	0.653384315012856
80	0.215689891810357
81	0.342851647527944
82	0.695485498518207
83	0.351496284869774
84	0.408931800729218
85	0.606729305201758
86	0.601178652775997
87	0.617263083963813
88	0.349814102876449
89	0.529207696026698
90	0.403731908960976
91	0.267667570452667
92	0.626117956213851
93	0.286328431537461
94	0.366271516663672
95	0.578965641846959
96	0.583969578096553
97	0.373622202130491
98	0.34197809879497
99	0.514638107225201
100	0.444250608714399
101	0.468394080642563
102	0.430609002201347
103	0.52593454978628
104	0.345119754447994
105	0.468584160603353
106	0.53396097101549
108	0.554079397267091
109	0.211922898733431
110	0.682937977177042
111	0.470036798077056
112	0.237337043508049
113	0.579044006833303
114	0.283388842717866
115	0.713503335838452
116	0.273187399017033
117	0.130975176240076
118	0.711919602294031
119	0.487071227556375
120	0.439756985570477
121	0.493411163832238
122	0.285767031343955
123	0.507388644331424
124	0.255117963232546
125	0.428070916750761
126	0.406099606004539
127	0.156691422972535
128	0.618819873040674
129	0.315034445142028
130	0.155987108193457
131	0.204390191746786
132	0.431508231775437
